"state_code","year","S. No.","State","GDP","total_cases_women_def","female_def_acquitted","female_def_acquittal_rate","total_cases_male_def","male_def_acquitted","male_def_acquittal_rate","female_def_dismissed","female_def_dismissal_rate","male_def_dismissed","male_def_dismissal_rate","female_def_convicted","female_def_conviction_rate","male_def_convicted","male_def_conviction_rate","mmr","unemr","tfr","diff_acquittal","diff_dismissal","diff_conviction","pop_growth"
19,"2013","17","Mizoram","10293.370385",522,42,8.04597701149425,349,30,8.59598853868195,22,4.21455938697318,14,4.01146131805158,235,45.0191570881226,135,38.6819484240688,NA,NA,NA,0.550011527187701,-0.2030980689216,-6.3372086640538,11.8
19,"2014","17","Mizoram","13509.4",290,21,7.24137931034483,181,19,10.4972375690608,7,2.41379310344828,13,7.18232044198895,40,13.7931034482759,24,13.2596685082873,NA,NA,NA,3.25585825871597,4.76852733854067,-0.5334349399886,12.1
19,"2015","17","Mizoram","15138.856960778097",461,44,9.54446854663774,337,47,13.946587537092,3,0.650759219088937,4,1.18694362017804,56,12.1475054229935,39,11.5727002967359,NA,NA,NA,4.40211899045426,0.536184401089103,-0.574805126257601,12
19,"2016","17","Mizoram","17191.908113034027",426,13,3.05164319248826,307,13,4.23452768729642,8,1.87793427230047,6,1.95439739413681,52,12.2065727699531,38,12.3778501628664,NA,NA,NA,1.18288449480816,0.0764631218363401,0.1712773929133,11.3
19,"2017","17","Mizoram","19385.329466151317",713,14,1.96353436185133,556,20,3.59712230215827,11,1.54277699859748,6,1.07913669064748,136,19.0743338008415,101,18.1654676258993,NA,NA,NA,1.63358794030694,-0.46364030795,-0.908866174942201,11
19,"2018","17","Mizoram","21912.082935199571",527,2,0.379506641366224,307,2,0.651465798045603,5,0.94876660341556,5,1.62866449511401,29,5.50284629981025,17,5.53745928338762,NA,177,NA,0.271959156679379,0.67989789169845,0.0346129835773699,10.7
19,"2019","17","Mizoram","24989.601000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,10.5
19,"2020","17","Mizoram","23922.944442960623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,10.2
19,"2021","17","Mizoram","27823.500212930147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA
19,"2022","17","Mizoram","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
19,"2023","17","Mizoram","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA
20,"2011","25","Tripura","19208.41",874,130,14.8741418764302,5972,1369,22.9236436704622,92,10.5263157894737,341,5.70997990622907,11,1.25858123569794,173,2.89685197588748,NA,NA,NA,8.049501794032,-4.81633588324463,1.63827074018954,9.4
20,"2012","25","Tripura","21663.200000000001",1211,151,12.4690338563171,7994,1729,21.6287215411559,113,9.33113129644922,478,5.9794846134601,28,2.3121387283237,299,3.74030522892169,NA,564,NA,9.1596876848388,-3.35164668298912,1.42816650059799,9.2
20,"2013","25","Tripura","25592.830000000002",1377,142,10.3122730573711,9479,1807,19.063192319865,114,8.27886710239651,533,5.62295600801772,14,1.01670297748729,284,2.9960966346661,NA,NA,NA,8.7509192624939,-2.65591109437879,1.97939365717881,9
20,"2014","25","Tripura","29533.459999999999",1468,114,7.76566757493188,9784,1317,13.4607522485691,156,10.6267029972752,578,5.90760425183974,20,1.36239782016349,209,2.13614063777596,NA,NA,NA,5.69508467363722,-4.71909874543546,0.77374281761247,10.2
20,"2015","25","Tripura","35937.730000000003",1405,81,5.76512455516014,8655,915,10.5719237435009,143,10.1779359430605,647,7.47544771808203,29,2.06405693950178,360,4.15944540727903,NA,NA,NA,4.80679918834076,-2.70248822497847,2.09538846777725,9.5
20,"2016","25","Tripura","39479.400000000001",1535,87,5.66775244299674,10019,1123,11.2087034634195,173,11.2703583061889,614,6.1283561233656,22,1.43322475570033,330,3.29374189040822,NA,NA,NA,5.54095102042276,-5.1420021828233,1.86051713470789,8.2
20,"2017","25","Tripura","43715.800000000003",1532,78,5.09138381201044,9426,878,9.31466157436877,133,8.68146214099217,705,7.47931253978358,28,1.82767624020888,138,1.4640356460853,NA,NA,NA,4.22327776235833,-1.20214960120859,-0.36364059412358,7.8
20,"2018","25","Tripura","49823.32",1427,38,2.66292922214436,8857,473,5.34040871626962,94,6.58724597056762,306,3.45489443378119,8,0.560616678346181,71,0.801625832674721,NA,197,NA,2.67747949412526,-3.13235153678643,0.24100915432854,7.5
20,"2019","25","Tripura","54151.120000000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,7.4
20,"2020","25","Tripura","53504.120000000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,6.9
20,"2021","25","Tripura","62550.440000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA
20,"2022","25","Tripura","72635.618472012051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA
20,"2023","25","Tripura","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA
21,"2011","16","Meghalaya","19917.748378994918",132,4,3.03030303030303,551,27,4.90018148820327,4,3.03030303030303,37,6.71506352087114,0,0,10,1.81488203266788,NA,NA,NA,1.86987845790024,3.68476049056811,1.81488203266788,16.3
21,"2012","16","Meghalaya","21872.023727052358",447,6,1.34228187919463,1398,47,3.36194563662375,47,10.5145413870246,90,6.43776824034335,0,0,9,0.643776824034335,NA,37,NA,2.01966375742912,-4.07677314668125,0.643776824034335,16.5
21,"2013","16","Meghalaya","22938.236084605836",326,8,2.45398773006135,1038,43,4.14258188824663,18,5.52147239263804,26,2.50481695568401,3,0.920245398773006,13,1.252408477842,NA,NA,NA,1.68859415818528,-3.01665543695403,0.332163079068994,16.4
21,"2014","16","Meghalaya","23234.534698019819",885,7,0.790960451977401,2520,63,2.5,14,1.5819209039548,41,1.62698412698413,1,0.112994350282486,29,1.15079365079365,NA,NA,NA,1.7090395480226,0.0450632230293302,1.03779930051116,16.6
21,"2015","16","Meghalaya","25117.363740837729",847,4,0.472255017709563,2986,74,2.47823174815807,22,2.5974025974026,46,1.54052243804421,6,0.708382526564345,28,0.937709310113865,NA,NA,NA,2.00597673044851,-1.05688015935839,0.22932678354952,16.3
21,"2016","16","Meghalaya","27438.623853801935",1399,1,0.0714796283059328,2789,41,1.47006095374686,61,4.3602573266619,54,1.93617784152026,4,0.285918513223731,38,1.36249551810685,NA,NA,NA,1.39858132544093,-2.42407948514164,1.07657700488312,17.1
21,"2017","16","Meghalaya","29508.303494313113",3046,6,0.196979645436638,3470,40,1.15273775216138,110,3.6112934996717,63,1.81556195965418,23,0.755088640840446,120,3.45821325648415,NA,NA,NA,0.955758106724742,-1.79573154001752,2.7031246156437,16.7
21,"2018","16","Meghalaya","32175.815762662944",777,6,0.772200772200772,2353,48,2.03994900127497,25,3.21750321750322,59,2.50743731406715,35,4.5045045045045,118,5.0148746281343,NA,89,NA,1.2677482290742,-0.71006590343607,0.5103701236298,16.3
21,"2019","16","Meghalaya","34770.401147597178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,17.7
21,"2020","16","Meghalaya","33776.162709044685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,17.6
21,"2021","16","Meghalaya","38784.69687652251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA
21,"2022","16","Meghalaya","42697.080584759598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA
21,"2023","16","Meghalaya","47380.9465620802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA
22,"2011","20","Punjab","266628.27237507072",21819,928,4.25317383931436,124486,14541,11.6808315794547,8188,37.5269260736056,34115,27.4046880773742,571,2.61698519638847,8764,7.04014909307071,NA,NA,1.8,7.42765774014034,-10.1222379962314,4.42316389668224,9.4
22,"2012","20","Punjab","297733.82155862049",32376,1170,3.61378799110452,180956,17321,9.57194014014457,11395,35.1958240672103,47159,26.0610314109507,940,2.90338522362244,14263,7.88202656999492,155,36,1.7,5.95815214904005,-9.1347926562596,4.97864134637248,9.1
22,"2013","20","Punjab","332146.93566267547",38728,1395,3.60204503201818,225416,20291,9.00157930226781,12505,32.2892997314604,52591,23.3306420129893,1177,3.0391448047924,18052,8.00830464563296,141,NA,1.7,5.39953427024963,-8.9586577184711,4.96915984084056,9
22,"2014","20","Punjab","355101.82000000001",44243,1340,3.02872770833804,258750,19043,7.35961352657005,13432,30.3596049092512,54740,21.1555555555556,1311,2.96318061614267,21943,8.48038647342995,NA,NA,1.7,4.33088581823201,-9.2040493536956,5.51720585728728,9.1
22,"2015","20","Punjab","390087.44",47663,1218,2.55544132765458,281999,18165,6.44151220394399,13225,27.7468896208799,52830,18.7341089862021,1228,2.57642196252859,20941,7.42591285784701,NA,NA,1.7,3.88607087628941,-9.0127806346778,4.84949089531842,9.1
22,"2016","20","Punjab","426988.09868090518",49145,947,1.92695085970088,309928,14412,4.65011228414341,11532,23.4652558754705,47819,15.4290673962985,1045,2.12636076915251,18161,5.85974807051961,122,NA,1.7,2.72316142444253,-8.036188479172,3.7333873013671,9
22,"2017","20","Punjab","471013.60774965258",59063,689,1.16655097099707,406443,10543,2.59396766582276,9205,15.5850532482265,39421,9.69902298723314,1302,2.20442578263888,24001,5.90513306908964,122,NA,1.6,1.42741669482569,-5.88603026099336,3.70070728645076,7.9
22,"2018","20","Punjab","512509.68888112454",59656,315,0.528027356845917,400620,5277,1.31720832709301,4374,7.3320370122033,23125,5.77230293045779,806,1.35107952259622,17027,4.2501622485148,129,135,1.6,0.789180970247093,-1.55973408174551,2.89908272591858,8.2
22,"2019","20","Punjab","537031.04242631106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,113,1.5,NA,NA,NA,7.9
22,"2020","20","Punjab","540852.6120147648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,116,1.5,NA,NA,NA,7.1
22,"2021","20","Punjab","617191.68601003045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA
22,"2022","20","Punjab","676164.28055548063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA
22,"2023","20","Punjab","736422.84833461826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA
23,"2011","13","Madhya Pradesh","315561.59000000003",41009,3790,9.24187373503377,276060,43720,15.837136854307,6525,15.9111414567534,30560,11.0700572339347,3779,9.21505035480017,31899,11.5550967181048,NA,NA,3.1,6.59526311927323,-4.8410842228187,2.34004636330463,18.7
23,"2012","13","Madhya Pradesh","380924.79999999999",45067,4490,9.96294406106464,327699,52449,16.0052365127754,6987,15.5035835533761,31415,9.58654130772447,4042,8.9688685734573,44115,13.462049014492,230,35,2.9,6.04229245171076,-5.91704224565163,4.4931804410347,18.6
23,"2013","13","Madhya Pradesh","439483.44",56655,4858,8.57470655723237,410183,56560,13.7889673633476,9126,16.1080222398729,38982,9.50356304381215,6241,11.0157973700468,61223,14.9257770312275,221,NA,2.9,5.21426080611523,-6.60445919606075,3.9099796611807,18.4
23,"2014","13","Madhya Pradesh","479939.03999999998",67635,4954,7.3246100391809,502293,59743,11.894053868957,10282,15.2021882161603,46996,9.35629204468308,10003,14.7896798994603,82373,16.3993923865154,NA,NA,2.8,4.5694438297761,-5.84589617147722,1.6097124870551,17.9
23,"2015","13","Madhya Pradesh","541067.51000000001",67209,4378,6.51400854052285,490921,54658,11.1337669400983,8283,12.3242422889792,38131,7.76723749849772,9106,13.5487806692556,64671,13.1734026452321,NA,NA,2.8,4.61975839957545,-4.55700479048148,-0.375378024023499,17.9
23,"2016","13","Madhya Pradesh","649822.81000000006",74025,3471,4.68895643363728,543034,45757,8.42617589322216,5741,7.75548801080716,22140,4.07709277872104,8022,10.8368794326241,56881,10.4746664113113,173,NA,2.8,3.73721945958488,-3.67839523208612,-0.362213021312799,17.9
23,"2017","13","Madhya Pradesh","726283.92000000004",79526,3023,3.8012725397983,594422,38023,6.39663404113576,4637,5.83079747503961,19594,3.29631137474723,7648,9.61698061011493,58742,9.88220489820363,188,NA,2.7,2.59536150133746,-2.53448610029238,0.265224288088699,18
23,"2018","13","Madhya Pradesh","829804.72999999998",80767,2050,2.53816533980462,589195,23539,3.99511197481309,2065,2.55673728131539,10174,1.7267627865138,8121,10.0548491339285,63033,10.6981559585536,173,69,2.7,1.45694663500847,-0.82997449480159,0.643306824625101,17.9
23,"2019","13","Madhya Pradesh","927855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,62,2.7,NA,NA,NA,17.9
23,"2020","13","Madhya Pradesh","946627.93000000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,55,2.6,NA,NA,NA,17.6
23,"2021","13","Madhya Pradesh","1092964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA
23,"2022","13","Madhya Pradesh","1246471.3400000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA
23,"2023","13","Madhya Pradesh","1363327.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA
24,"2011","22","Sikkim","11165.096836957988",63,11,17.4603174603175,314,74,23.5668789808917,4,6.34920634920635,8,2.54777070063694,6,9.52380952380952,48,15.2866242038217,NA,NA,NA,6.1065615205742,-3.80143564856941,5.76281468001218,12
24,"2012","22","Sikkim","12338.420375050755",107,22,20.5607476635514,670,162,24.1791044776119,5,4.67289719626168,13,1.94029850746269,14,13.0841121495327,96,14.3283582089552,NA,NA,NA,3.6183568140605,-2.73259868879899,1.2442460594225,11.9
24,"2013","22","Sikkim","13861.902317311406",366,40,10.9289617486339,2048,246,12.01171875,6,1.63934426229508,24,1.171875,13,3.55191256830601,102,4.98046875,NA,NA,NA,1.0827570013661,-0.46746926229508,1.42855618169399,11.8
24,"2014","22","Sikkim","15406.721352201046",464,44,9.48275862068965,2776,322,11.5994236311239,8,1.72413793103448,26,0.936599423631124,15,3.23275862068966,83,2.98991354466859,NA,NA,NA,2.11666501043425,-0.787538507403356,-0.24284507602107,12
24,"2015","22","Sikkim","18033.942571297161",523,39,7.45697896749522,2601,328,12.6105344098424,7,1.33843212237094,21,0.807381776239908,9,1.7208413001912,79,3.03729334871203,NA,NA,NA,5.15355544234718,-0.531050346131032,1.31645204852083,12
24,"2016","22","Sikkim","20687.185681201154",583,54,9.26243567753002,2592,359,13.8503086419753,15,2.57289879931389,41,1.58179012345679,4,0.686106346483705,81,3.125,NA,NA,NA,4.58787296444528,-0.9911086758571,2.4388936535163,11.9
24,"2017","22","Sikkim","25970.822025278845",527,41,7.77988614800759,2481,230,9.27045546150746,25,4.7438330170778,96,3.86940749697703,5,0.94876660341556,42,1.69286577992745,NA,NA,NA,1.49056931349987,-0.87442552010077,0.74409917651189,11.9
24,"2018","22","Sikkim","28402.429145312846",412,17,4.12621359223301,2183,117,5.35959688502061,22,5.33980582524272,69,3.16078790655062,5,1.21359223300971,22,1.00778744846541,NA,99,NA,1.2333832927876,-2.1790179186921,-0.2058047845443,11.8
24,"2019","22","Sikkim","31441.0025472532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,12.3
24,"2020","22","Sikkim","33017.826268150973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,11.6
24,"2021","22","Sikkim","37557.39673920544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA
